stock,endDate,totalRevenue,costOfRevenue,grossProfit,totalOperatingExpenses,sellingGeneralAdministrative,operatingIncome,ebit,incomeBeforeTax,incomeTaxExpense,netIncome
IVC,2019-12-31,927964000,665897000,262067000,925880000,259983000.0,2084000,2084000,-44025000.0,9302000,-53327000
IVC,2018-12-31,972347000,704671000,267676000,986727000,282056000.0,-14380000,-14380000,-34102000.0,9820000,-43922000
IVC,2017-12-31,966497000,697246000,269251000,993984000,296738000.0,-27487000,-27487000,-66250000.0,10291000,-76541000
IVC,2016-12-31,1047474000,763847000,283627000,1067823000,303976000.0,-20349000,-20349000,-29557000.0,13299000,-42856000
CSLT,2019-12-31,143308000,59074000,84234000,184646000,66578000.0,-41338000,-41338000,-40002000.0,0,-40002000
CSLT,2018-12-31,156404000,60189000,96215000,195398000,74754000.0,-38994000,-38994000,-39706000.0,0,-39706000
CSLT,2017-12-31,132020000,46652000,85368000,187317000,86163000.0,-55297000,-55297000,-57108000.0,-5206000,-51902000
CSLT,2016-12-31,98708000,31866000,66842000,154926000,82600000.0,-56218000,-56218000,-58686000.0,0,-58686000
LPX,2019-12-31,2310000000,2007000000,303000000,2237000000,233000000.0,73000000,73000000,-23000000.0,-13000000,-5000000
LPX,2018-12-31,2828000000,2084000000,744000000,2293000000,213000000.0,535000000,535000000,521000000.0,122000000,395000000
LPX,2017-12-31,2734000000,1998000000,736000000,2204000000,201000000.0,530000000,530000000,510000000.0,119000000,390000000
LPX,2016-12-31,2233400000,1829100000,404300000,2037800000,188100000.0,195600000,195600000,170100000.0,19800000,149800000
GDYN,2019-12-31,118326000,69064000,49262000,100193000,27163000.0,18133000,18133000,15449000.0,4642000,10807000
GDYN,2018-12-31,91865000,51533000,40332000,75528000,21732000.0,16337000,16337000,13083000.0,3855000,9228000
GDYN,2017-12-31,70684000,39935000,30749000,55702000,14055000.0,14982000,14982000,13108000.0,-76000,13184000
ARA,2019-12-31,822522000,568017000,254505000,739855000,133243000.0,82667000,82667000,8307000.0,-17838000,-13790000
ARA,2018-12-31,805776000,559231000,246545000,710912000,111879000.0,94864000,94864000,25363000.0,2896000,-28767000
ARA,2017-12-31,729002000,472941000,256061000,622028000,111453000.0,106974000,106974000,67607000.0,9471000,-4597000
ARA,2016-12-31,766780000,427107000,339673000,612586000,151617000.0,154194000,154194000,104145000.0,2479000,3146000
XXII,2019-12-31,25832530,25818075,14455,47536642,12236417.0,-21704112,-21704112,-26558544.0,0,-26558544
XXII,2018-12-31,26426347,25527360,898987,50444974,8585533.0,-24018627,-24018627,-7966911.0,0,-7966911
XXII,2017-12-31,16600244,17308156,-707912,29900108,8278487.0,-13299864,-13299864,-13029117.0,0,-13029117
XXII,2016-12-31,12279979,12709678,-429699,23667826,7775010.0,-11387847,-11387847,-11581430.0,0,-11581430
ABTX,2019-12-31,187021000,0,187021000,111493000,101567000.0,75528000,0,66386000.0,13427000,52959000
ABTX,2018-12-31,132044000,0,132044000,81002000,74720000.0,51042000,0,45257000.0,7948000,37309000
ABTX,2017-12-31,96341000,0,96341000,66908000,61079000.0,29433000,0,26379000.0,8747000,17632000
ABTX,2016-12-31,89613000,0,89613000,56892000,52296000.0,32721000,0,32405000.0,9554000,22851000
NATH,2019-03-31,101849000,58810000,43039000,73873000,13851000.0,27976000,27976000,29410000.0,7917000,21493000
NATH,2018-03-25,104201000,62258000,41943000,77101000,13491000.0,27100000,27100000,4112000.0,1482000,2630000
NATH,2017-03-26,96256000,55020000,41236000,69976000,13659000.0,26280000,26280000,11804000.0,4319000,7485000
NATH,2016-03-27,100449000,61114000,39335000,75486000,13117000.0,24963000,24963000,10384000.0,4288000,6096000
EGBN,2019-12-31,336653000,0,336653000,128456000,112462000.0,208197000,0,196791000.0,53848000,142943000
EGBN,2018-12-31,330919000,0,330919000,123199000,107416000.0,207720000,0,204208000.0,51932000,152276000
EGBN,2017-12-31,304288000,0,304288000,115998000,100129000.0,188290000,0,185736000.0,85504000,100232000
EGBN,2016-12-31,274118000,0,274118000,112298000,97043000.0,161820000,0,159102000.0,61395000,97707000
PUK,2019-12-31,93736000000,85966000000,7770000000,91188000000,5019000000.0,2548000000,2548000000,2287000000.0,334000000,783000000
PUK,2018-12-31,35845000000,27680000000,8165000000,31953000000,3877000000.0,3892000000,3892000000,3557000000.0,676000000,4019000000
PUK,2017-12-31,86390000000,75333000000,11057000000,82525000000,6208000000.0,3865000000,3865000000,3970000000.0,1580000000,2389000000
PUK,2016-12-31,71718000000,62130000000,9588000000,68090000000,5398000000.0,3628000000,3628000000,3212000000.0,1291000000,1921000000
TSLX,2019-12-31,251495000,0,251495000,70352000,70352000.0,181143000,181143000,158333000.0,3750000,154583000
TSLX,2018-12-31,261914000,0,261914000,71889000,71889000.0,190025000,190025000,122392000.0,3375000,119017000
TSLX,2017-12-31,210897000,0,210897000,60362000,60362000.0,150535000,150535000,114444000.0,2835000,111609000
TSLX,2016-12-31,192410000,0,192410000,59744000,59744000.0,132666000,132666000,139232000.0,2225000,137007000
NUE,2019-12-31,22588858000,19888498000,2700360000,20656021000,732523000.0,1932837000,1932837000,1782807000.0,411897000,1271143000
NUE,2018-12-31,25067279000,20771871000,4295408000,21763093000,881222000.0,3304186000,3304186000,3229391000.0,748307000,2360767000
NUE,2017-12-31,20252393000,17682986000,2569407000,18370517000,687531000.0,1881876000,1881876000,1749957000.0,369386000,1318688000
NUE,2016-12-31,16208122000,14182215000,2025907000,14745276000,563061000.0,1462846000,1462846000,1298659000.0,398243000,796271000
BWFG,2019-12-31,58568000,0,58568000,35477000,32786000.0,23091000,0,22942000.0,4726000,18216000
BWFG,2018-12-31,56786000,0,56786000,34762000,32530000.0,22024000,0,21153000.0,3720000,17433000
BWFG,2017-12-31,57652000,0,57652000,31289000,28492000.0,26363000,0,25129000.0,11299000,13830000
BWFG,2016-12-31,47854000,0,47854000,28733000,26530000.0,19121000,0,18310000.0,5960000,12350000
ITIC,2019-12-31,183456000,76312000,107144000,143679000,55312000.0,39777000,39777000,39823000.0,8365000,31458000
ITIC,2018-12-31,156271000,65443000,90828000,129190000,52365000.0,27081000,27081000,27069000.0,5210000,21892000
ITIC,2017-12-31,161604000,71954000,89650000,131356000,48109000.0,30248000,30248000,30271000.0,4570000,25707000
ITIC,2016-12-31,138476000,63886000,74590000,110357000,37925000.0,28119000,28119000,28131000.0,8616000,19523000
CSII,2019-06-30,248017000,47680000,200337000,248842000,167700000.0,-825000,-825000,-65000.0,190000,-255000
CSII,2018-06-30,217043000,39484000,177559000,214809000,148569000.0,2234000,2234000,1844000.0,132000,1712000
CSII,2017-06-30,204906000,39441000,165465000,206448000,144096000.0,-1542000,-1542000,-1706000.0,86000,-1792000
CSII,2016-06-30,176911000,34148000,142763000,221124000,161042000.0,-44213000,-44213000,-55932000.0,92000,-56024000
BCOR,2019-12-31,717945000,362772000,355173000,641273000,204734000.0,76672000,76672000,-16906000.0,-65054000,48148000
BCOR,2018-12-31,560456000,263620000,296836000,492491000,171485000.0,67965000,67965000,51880000.0,311000,50634000
BCOR,2017-12-31,509557000,245877000,263680000,458419000,155466000.0,51138000,51138000,3486000.0,-25890000,27039000
BCOR,2016-12-31,455911000,222364000,233547000,414533000,136365000.0,41378000,41378000,-2664000.0,-1285000,-65158000
NBHC,2019-12-31,277068000,0,277068000,184806000,165975000.0,92262000,0,96194000.0,15829000,80365000
NBHC,2018-12-31,263236000,0,263236000,185377000,164102000.0,77859000,0,73681000.0,12230000,61451000
NBHC,2017-12-31,172339000,0,172339000,132523000,114383000.0,39816000,0,35862000.0,21283000,14579000
NBHC,2016-12-31,162016000,0,162016000,131676000,114699000.0,30340000,0,26007000.0,2947000,23060000
PLT,2020-03-28,1696990000,958894000,738096000,1772634000,595463000.0,-75644000,-75644000,-896583000.0,-69401000,-827182000
PLT,2019-03-30,1674535000,948944000,725591000,1718709000,567879000.0,-44174000,-44174000,-185692000.0,-50131000,-135561000
PLT,2018-03-31,856903000,417788000,439115000,731371000,229390000.0,125532000,125532000,100227000.0,101096000,-869000
PLT,2017-03-31,881176000,439806000,441370000,751954000,223830000.0,129222000,129222000,101665000.0,19066000,82599000
BLD,2019-12-31,2624121000,1942854000,681267000,2334512000,391658000.0,289609000,289609000,253778000.0,62783000,190995000
BLD,2018-12-31,2384249000,1808097000,576152000,2154196000,346099000.0,230053000,230053000,180824000.0,46072000,134752000
BLD,2017-12-31,1906266000,1445157000,461109000,1739402000,294245000.0,166864000,166864000,128040000.0,-30093000,158133000
BLD,2016-12-31,1742850000,1342506000,400344000,1621246000,278740000.0,121604000,121604000,116273000.0,43667000,72606000
EDU,2019-05-31,3096491000,1376269000,1720222000,2794584000,1418315000.0,301907000,301907000,313560000.0,85714000,238065000
EDU,2018-05-31,2447430000,1065740000,1381690000,2184471000,1118731000.0,262959000,262959000,356645000.0,59408000,296130000
EDU,2017-05-31,1799509000,749586000,1049923000,1537360000,787774000.0,262149000,262149000,327420000.0,50624000,274457000
EDU,2016-05-31,1478348000,614364000,863984000,1283271000,668907000.0,195077000,195077000,262859000.0,37531000,224884000
BANF,2019-12-31,410863000,0,410863000,237577000,192748000.0,173286000,0,169562000.0,34683000,134879000
BANF,2018-12-31,381873000,0,381873000,216446000,176559000.0,165427000,0,159752000.0,33938000,125814000
BANF,2017-12-31,336697000,0,336697000,195522000,159386000.0,141175000,0,136305000.0,49866000,86439000
BANF,2016-12-31,299341000,0,299341000,186978000,154121000.0,112363000,0,107937000.0,37263000,70674000
OMI,2019-12-31,9210939000,8082448000,1128491000,9110661000,1025988000.0,100278000,100278000,-28719000.0,-6135000,-62371000
OMI,2018-12-31,9418192000,8347666000,1070526000,9301257000,956630000.0,116935000,116935000,-427094000.0,-32429000,-437012000
OMI,2017-12-31,9318275000,8146409000,1171866000,9168317000,1016978000.0,149958000,149958000,57478000.0,-15315000,72793000
OMI,2016-12-31,9723431000,8536121000,1187310000,9499157000,970424000.0,224274000,224274000,172542000.0,63755000,108787000
MDLA,2020-01-31,402463000,145189000,257274000,517393000,276226000.0,-114930000,-114930000,-111801000.0,532000,-112333000
MDLA,2019-01-31,313642000,115901000,197741000,389586000,187413000.0,-75944000,-75944000,-80455000.0,1779000,-82234000
MDLA,2018-01-31,261195000,95777000,165418000,332330000,150185000.0,-71135000,-71135000,-68723000.0,1638000,-70361000
CAI,2019-12-31,416540000,233559000,182981000,281856000,52699000.0,134684000,134684000,55213000.0,4192000,31011000
CAI,2018-12-31,396395000,214932000,181463000,251286000,46240000.0,145109000,145109000,83659000.0,4554000,78596000
CAI,2017-12-31,315917000,183211000,132706000,217466000,39588000.0,98451000,98451000,55871000.0,-6694000,72060000
CAI,2016-12-31,294354000,190719000,103635000,240357000,36967000.0,53997000,53997000,9878000.0,3844000,5997000
SMLP,2019-12-31,444748000,161025000,283723000,321590000,49139000.0,123158000,123158000,-368659000.0,1174000,-369845000
SMLP,2018-12-31,508208000,204539000,303669000,366071000,52877000.0,142137000,142137000,42384000.0,33000,33135000
SMLP,2017-12-31,490296000,151119000,339177000,322830000,54681000.0,167466000,167466000,86391000.0,341000,76211000
SMLP,2016-12-31,402784000,122755000,280029000,287826000,52410000.0,114958000,114958000,-38112000.0,75000,-45462000
MIDD,2019-12-28,2959446000,1855949000,1103497000,2420905000,564956000.0,538541000,538541000,462619000.0,110379000,352240000
MIDD,2018-12-29,2722931000,1718791000,1004140000,2219519000,500728000.0,503412000,503412000,423513000.0,106361000,317152000
MIDD,2017-12-30,2335542000,1422801000,912741000,1859292000,436491000.0,476250000,476250000,383529000.0,85401000,298128000
MIDD,2016-12-31,2267852000,1366672000,901180000,1811103000,444431000.0,456749000,456749000,421305000.0,137089000,284216000
POOL,2019-12-31,3199517000,2274592000,924925000,2858271000,583679000.0,341246000,341246000,317736000.0,56161000,261575000
POOL,2018-12-31,2998097000,2127924000,870173000,2684208000,556284000.0,313889000,313889000,293235000.0,58774000,234461000
POOL,2017-12-31,2788188000,1982899000,805289000,2503817000,520918000.0,284371000,284371000,269321000.0,77982000,191633000
POOL,2016-12-31,2570803000,1829716000,741087000,2314944000,485228000.0,255859000,255859000,241534000.0,92931000,148955000
AFB,2019-10-31,26182841,0,26182841,4131882,4131882.0,22050959,22050959,54519656.0,0,54519656
AFB,2018-10-31,26001344,0,26001344,4142060,4142060.0,21859284,21859284,-12884685.0,0,-12884685
AFB,2017-10-31,26461580,0,26461580,4142359,4142359.0,22319221,22319221,7393881.0,0,7393881
AFB,2016-10-31,27525391,0,27525391,4280519,4280519.0,23244872,23244872,35360790.0,0,35360790
LIQT,2019-12-31,32637484,25475170,7162314,33000334,6775915.0,-362850,-362850,-257636.0,-297252,39616
LIQT,2018-12-31,12232088,11165944,1066144,16717596,4890638.0,-4485508,-4485508,-4179958.0,-365430,-3814528
LIQT,2017-12-31,11343177,11136426,206751,15950432,4277158.0,-4607255,-4607255,-4778163.0,-317810,-4460353
LIQT,2016-12-31,13906394,12473965,1432429,19697990,6162084.0,-5791596,-5791596,-13198957.0,3219677,-16418634
SENS,2019-12-31,21301000,40749000,-19448000,151963000,72784000.0,-130662000,-130662000,-115549000.0,0,-115549000
SENS,2018-12-31,18913000,27059000,-8146000,106491000,47569000.0,-87578000,-87578000,-93971000.0,0,-93971000
SENS,2017-12-31,6373000,9758000,-3385000,62686000,22193000.0,-56313000,-56313000,-59101000.0,0,-59101000
SENS,2016-12-31,332000,660000,-328000,42765000,15758000.0,-42433000,-42433000,-43930000.0,0,-43930000
FSBW,2019-12-31,90489000,0,90489000,59492000,46532000.0,30997000,0,28130000.0,5413000,22717000
FSBW,2018-12-31,70065000,0,70065000,46579000,37069000.0,23486000,0,28570000.0,4223000,24347000
FSBW,2017-12-31,63510000,0,63510000,43058000,34201000.0,20452000,0,20579000.0,6494000,14085000
FSBW,2016-12-31,55026000,0,55026000,37678000,29173000.0,17348000,0,16103000.0,5604000,10499000
TMBR,2019-12-31,324646,3382664,-3058019,3969223,586559.0,-3644578,-3644578,-3644734.0,0,-3644734
ALEC,2019-12-31,21219000,100528000,-79309000,134465000,33937000.0,-113246000,-113246000,-105385000.0,0,-105385000
ALEC,2018-12-31,27677000,73031000,-45354000,84965000,11934000.0,-57288000,-57288000,-52248000.0,0,-52248000
ALEC,2017-12-31,3735000,29911000,-26176000,36414000,6503000.0,-32679000,-32679000,-32480000.0,0,-32480000
ALEC,2016-12-31,416000,13674000,-13258000,15548000,1874000.0,-15132000,-15132000,-15110000.0,0,-15110000
DT,2020-03-31,545803000,112482000,433321000,716650000,428158000.0,-170847000,-170847000,-218533000.0,199491000,-418024000
DT,2019-03-31,430966000,88463000,342503000,501910000,270664000.0,-70944000,-70944000,-139911000.0,-23717000,-116194000
DT,2018-03-31,398047000,78586000,319461000,414616000,209264000.0,-16569000,-16569000,-51775000.0,-60997000,9222000
DT,2017-03-31,406377000,82911000,323466000,386207000,179203000.0,20170000,20170000,-16393000.0,-17189000,796000
ALRS,2019-12-31,181433000,0,181433000,138456000,112832000.0,42977000,0,38896000.0,9356000,29540000
ALRS,2018-12-31,169363000,0,169363000,132467000,108376000.0,36896000,0,33038000.0,7172000,25866000
ALRS,2017-12-31,167435000,0,167435000,127227000,103912000.0,40208000,0,32515000.0,17514000,15001000
ALRS,2016-12-31,163869000,0,163869000,135687000,126682000.0,28182000,0,21177000.0,7141000,14036000
UNH,2019-12-31,242155000000,184557000000,57598000000,222470000000,35193000000.0,19685000000,19685000000,17981000000.0,3742000000,13839000000
UNH,2018-12-31,226247000000,172401000000,53846000000,208903000000,34074000000.0,17344000000,17344000000,15944000000.0,3562000000,11986000000
UNH,2017-12-31,201159000000,154148000000,47011000000,185950000000,29557000000.0,15209000000,15209000000,14023000000.0,3200000000,10558000000
UNH,2016-12-31,184840000000,141454000000,43386000000,171910000000,28401000000.0,12930000000,12930000000,11863000000.0,4790000000,7017000000
SNAP,2019-12-31,1715534000,895838000,819696000,2718862000,939515000.0,-1003328000,-1003328000,-1033267000.0,393000,-1033660000
SNAP,2018-12-31,1180446000,798865000,381581000,2417753000,846703000.0,-1237307000,-1237307000,-1253364000.0,2547000,-1255911000
SNAP,2017-12-31,824949000,677595000,147354000,4270658000,2058200000.0,-3445709000,-3445709000,-3463408000.0,-18342000,-3445066000
SNAP,2016-12-31,404482000,451660000,-47178000,924867000,289531000.0,-520385000,-520385000,-521723000.0,-7080000,-514643000
RETA,2019-12-31,26517000,252507000,-225990000,311737000,58298000.0,-285220000,-285220000,-290162000.0,8000,-290170000
RETA,2018-12-31,53589000,97288000,-43699000,130467000,32748000.0,-76878000,-76878000,-80520000.0,26000,-80546000
RETA,2017-12-31,48058000,71273000,-23215000,94970000,23260000.0,-46912000,-46912000,-47668000.0,3000,-47671000
RETA,2016-12-31,49730000,39453000,10277000,56612000,16603000.0,-6882000,-6882000,-6668000.0,-441000,-6227000
FNB,2019-12-31,1169722000,0,1169722000,658391000,559480000.0,511331000,0,471000000.0,84000000,387000000
FNB,2018-12-31,1152677000,0,1152677000,643796000,550081000.0,508881000,0,452000000.0,79000000,373000000
FNB,2017-12-31,1037000000,0,1037000000,573000000,486000000.0,464000000,0,356000000.0,157000000,199000000
FNB,2016-12-31,751993000,0,751993000,441415000,362000000.0,310578000,0,246000000.0,75000000,171000000
NWL,2019-12-31,9714900000,6479600000,3235300000,8892400000,2263800000.0,822500000,822500000,-851600000.0,-1037700000,106600000
NWL,2018-12-31,10154000000,6636300000,3517700000,9273000000,2485700000.0,881000000,881000000,-7991700000.0,-1358900000,-6942500000
NWL,2017-12-31,11170400000,7359900000,3810500000,10284000000,2749100000.0,886400000,886400000,919300000.0,-1515000000,2748800000
NWL,2016-12-31,9181100000,5917200000,3263900000,8527800000,2463600000.0,653300000,653300000,18800000.0,57100000,527800000
LMPX,2019-12-31,10853077,11005620,-152543,14091995,2878988.0,-3238918,-3238918,-4029851.0,0,-4029851
LMPX,2018-12-31,16610786,18567775,-1956989,22346980,3278051.0,-5736194,-5736194,-6490293.0,0,-6490293
LMPX,2017-12-31,3759031,3994079,-235048,5137479,1114109.0,-1378448,-1378448,-1423662.0,0,-1423662
MT,2019-12-31,70615000000,66960000000,3655000000,69720000000,2459000000.0,895000000,895000000,-1932000000.0,459000000,-2454000000
MT,2018-12-31,76033000000,66240000000,9793000000,69058000000,2528000000.0,6975000000,6975000000,4981000000.0,-349000000,5149000000
MT,2017-12-31,68679000000,60670000000,8009000000,63392000000,2444000000.0,5287000000,5287000000,5007000000.0,432000000,4568000000
MT,2016-12-31,56791000000,51055000000,5736000000,53692000000,2398000000.0,3099000000,3099000000,2720000000.0,986000000,1779000000
APEN,2019-12-31,50713000,25038000,25675000,79835000,42318000.0,-29122000,-29122000,-27157000.0,275000,-27432000
APEN,2018-12-31,60854000,27660000,33194000,93177000,46267000.0,-32323000,-32323000,-45596000.0,191000,-45787000
APEN,2017-12-31,64310000,24578000,39732000,86749000,46632000.0,-22439000,-22439000,-26988000.0,304000,-27292000
APEN,2016-12-31,64650000,25255000,39395000,81811000,41558000.0,-17161000,-17161000,-40780000.0,387000,-41167000
BDL,2019-09-28,115989000,89063000,26926000,109673000,20823000.0,6316000,6316000,6264000.0,887000,3648000
BDL,2018-09-29,113280000,86106000,27174000,105836000,19947000.0,7444000,7444000,6761000.0,1371000,3677000
BDL,2017-09-30,106589000,81868000,24721000,100331000,18696000.0,6258000,6258000,5760000.0,1370000,3020000
BDL,2016-10-01,103393000,78492000,24901000,96592000,18325000.0,6801000,6801000,6336000.0,1367000,3040000
ASPN,2019-12-31,139375000,113091000,26284000,153534000,32036000.0,-14159000,-14159000,-14565000.0,0,-14565000
ASPN,2018-12-31,104361000,91692000,12669000,130921000,32910000.0,-26560000,-26560000,-34440000.0,0,-34440000
ASPN,2017-12-31,111631000,92960000,18671000,130767000,31627000.0,-19136000,-19136000,-19321000.0,0,-19321000
ASPN,2016-12-31,117738000,94427000,23311000,128958000,29225000.0,-11220000,-11220000,-12023000.0,0,-12023000
OTEX,2019-06-30,2868755000,747318000,2121437000,2267721000,727639000.0,601034000,601034000,440574000.0,154937000,285501000
OTEX,2018-06-30,2815241000,765131000,2050110000,2281046000,736077000.0,534195000,534195000,386126000.0,143826000,242224000
OTEX,2017-06-30,2291057000,631001000,1660056000,1872739000,614807000.0,418318000,418318000,249551000.0,-776364000,1025659000
OTEX,2016-06-30,1824228000,499762000,1324466000,1420819000,484632000.0,403409000,403409000,290777000.0,6282000,284477000
WM,2019-12-31,15455000000,9480000000,5975000000,12685000000,1631000000.0,2770000000,2770000000,2105000000.0,434000000,1670000000
WM,2018-12-31,14914000000,9249000000,5665000000,12179000000,1453000000.0,2735000000,2735000000,2376000000.0,453000000,1925000000
WM,2017-12-31,14485000000,9021000000,5464000000,11865000000,1468000000.0,2620000000,2620000000,2191000000.0,242000000,1949000000
WM,2016-12-31,13609000000,8486000000,5123000000,11197000000,1410000000.0,2412000000,2412000000,1822000000.0,642000000,1182000000
LIND,2019-12-31,343091000,166608000,176483000,309893000,117516000.0,33198000,33198000,20938000.0,2190000,16353000
LIND,2018-12-31,309734000,153743000,155991000,284396000,109885000.0,25338000,25338000,12168000.0,616000,11352000
LIND,2017-12-31,266504000,135526000,130978000,254351000,101474000.0,12153000,12153000,2473000.0,10002000,-8661000
LIND,2016-12-31,242346000,118977000,123369000,222422000,90025000.0,19924000,19924000,1859000.0,-3200000,4864000
HDS,2020-02-02,6146000000,3743000000,2403000000,5410000000,1561000000.0,736000000,736000000,613000000.0,162000000,452000000
HDS,2019-02-03,6047000000,3672000000,2375000000,5308000000,1537000000.0,739000000,739000000,526000000.0,135000000,394000000
HDS,2018-01-28,5121000000,3088000000,2033000000,4507000000,1334000000.0,614000000,614000000,360000000.0,193000000,970000000
HDS,2017-01-29,4819000000,2894000000,1925000000,4247000000,1269000000.0,572000000,572000000,117000000.0,51000000,196000000
PPIH,2020-01-31,127663000,98617000,29046000,121723000,23106000.0,5940000,5940000,5035000.0,1459000,3576000
PPIH,2019-01-31,128965000,105647000,23318000,126243000,20596000.0,2722000,2722000,1600000.0,2150000,-550000
PPIH,2018-01-31,105248000,93506000,11742000,113560000,20054000.0,-8312000,-8312000,-10209000.0,-233000,-9976000
PPIH,2017-01-31,98845000,87129000,11716000,108729000,21600000.0,-9884000,-9884000,-13773000.0,-611000,-12474000
DRI,2019-05-26,8510400000,6661400000,1849000000,7658900000,660800000.0,851500000,851500000,782300000.0,63700000,713400000
DRI,2018-05-27,8080100000,6334700000,1745400000,7309900000,662100000.0,770200000,770200000,605700000.0,1900000,596000000
DRI,2017-05-28,7170200000,5600800000,1569400000,6501100000,627400000.0,669100000,669100000,637300000.0,154800000,479100000
DRI,2016-05-29,6933500000,5392400000,1541100000,6305500000,622900000.0,628000000,628000000,449700000.0,90000000,375000000
SGA,2019-12-31,123072000,92692000,30380000,104264000,11460000.0,18808000,18808000,18699000.0,5420000,13279000
SGA,2018-12-31,124829000,93727000,31102000,105147000,11359000.0,19682000,19682000,19390000.0,5700000,13690000
SGA,2017-12-31,118149000,87759000,30390000,99471000,11657000.0,18678000,18678000,16326000.0,-5920000,54717000
SGA,2016-12-31,118955000,86799000,32156000,97843000,10980000.0,21112000,21112000,21783000.0,8873000,18186000
PBFX,2019-12-31,340212000,118614000,221598000,180034000,22819000.0,160178000,160178000,108169000.0,0,100288000
PBFX,2018-12-31,283440000,88390000,195050000,136674000,18475000.0,146766000,146766000,103280000.0,0,85461000
PBFX,2017-12-31,257588000,73521000,184067000,113676000,15751000.0,143912000,143912000,115002000.0,0,100437000
PBFX,2016-12-31,189006000,51393000,137613000,80244000,13445000.0,108762000,108762000,86639000.0,0,80960000
VCNX,2019-12-31,523000,199000,324000,32538000,6669000.0,-32015000,-32015000,-31863000.0,0,-31863000
VCNX,2018-12-31,724000,1033000,-309000,28005000,4619000.0,-27281000,-27281000,-29518000.0,0,-29518000
VCNX,2017-12-31,90000,160000,-70000,21194000,4483000.0,-21104000,-21104000,-18759000.0,0,-18722000
VCNX,2016-12-31,316000,115000,201000,20575000,4432000.0,-20259000,-20259000,-13943000.0,0,-13943000
SPSC,2019-12-31,279124000,92239000,186885000,240718000,114859000.0,38406000,38406000,42070000.0,8358000,33712000
SPSC,2018-12-31,248240000,81748000,166492000,221509000,113581000.0,26731000,26731000,28340000.0,4468000,23872000
SPSC,2017-12-31,220085000,73625000,146460000,210104000,108722000.0,9981000,9981000,10693000.0,10342000,351000
SPSC,2016-12-31,193153000,64346000,128807000,186768000,95703000.0,6385000,6385000,7718000.0,2755000,4963000
Y,2019-12-31,9040716000,5445133000,3595583000,7809623000,74830000.0,1231093000,1231093000,1123636000.0,233435000,857801000
Y,2018-12-31,6887160000,5137764000,1749396000,6756844000,15732000.0,130316000,130316000,39592000.0,-15062000,39539000
Y,2017-12-31,6424655000,5271374000,1153281000,6304895000,46998000.0,119760000,119760000,36690000.0,-63802000,90133000
Y,2016-12-31,6131019000,4574417000,1556602000,5401615000,42960000.0,729404000,729404000,647805000.0,187141000,456921000
SSSS,2019-12-31,1495724,0,1495724,8540397,8540397.0,-7044673,-7044673,23987522.0,33825,23953697
SSSS,2018-12-31,1617836,0,1617836,9223948,9223948.0,-7606112,-7606112,1374737.0,482994,891743
SSSS,2017-12-31,852768,0,852768,16981863,16981863.0,-16129095,-16129095,17620834.0,52901,17567933
NEWR,2020-03-31,599510000,103237000,496273000,683468000,432072000.0,-83958000,-83958000,-90768000.0,211000,-88937000
NEWR,2019-03-31,479225000,77399000,401826000,512255000,329997000.0,-33030000,-33030000,-41059000.0,697000,-40893000
NEWR,2018-03-31,355058000,62725000,292333000,401866000,264809000.0,-46808000,-46808000,-44361000.0,959000,-45320000
NEWR,2017-03-31,263479000,49990000,213489000,324822000,213778000.0,-61343000,-61343000,-60813000.0,264000,-61077000
TSRI,2019-05-31,63340028,53514636,9825392,65187582,11672946.0,-1847554,-1847554,-1837055.0,-538000,-1335995
TSRI,2018-05-31,64989995,54609095,10380900,64080618,9471523.0,909377,909377,937030.0,381000,486208
TSRI,2017-05-31,62572585,52326521,10246064,62010122,9683601.0,562463,562463,576967.0,263000,268189
TSRI,2016-05-31,60998281,51038879,9959402,60159405,9120526.0,838876,838876,845201.0,389000,399226
PFG,2019-12-31,16222100000,10024900000,6197200000,14528800000,4503900000.0,1693300000,1693300000,1693300000.0,249200000,1394200000
PFG,2018-12-31,14237200000,8316100000,5921100000,12452800000,4136700000.0,1784400000,1784400000,1784400000.0,230700000,1546500000
PFG,2017-12-31,14093200000,7947200000,6146000000,11841000000,3893800000.0,2252200000,2252200000,2252200000.0,-72300000,2310400000
PFG,2016-12-31,12394100000,7069800000,5324300000,10802400000,3732600000.0,1591700000,1591700000,1591700000.0,229900000,1316500000
GAB,2019-12-31,34684099,0,34684099,19683006,19683006.0,15001093,15001093,336644774.0,0,336644774
GAB,2018-12-31,37297400,0,37297400,20234047,20234047.0,17063353,17063353,-127874378.0,0,-127874378
GAB,2017-12-31,28497885,0,28497885,19673142,19673142.0,8824743,8824743,323252947.0,0,323252947
GAB,2016-12-31,33559802,0,33559802,18133459,18133459.0,15426343,15426343,181478539.0,0,181478539
WSM,2020-02-02,5898008000,3758916000,2139092000,5428859000,1669943000.0,469149000,469149000,457021000.0,100959000,356062000
WSM,2019-02-03,5671593000,3570580000,2101013000,5230025000,1659445000.0,441568000,441568000,429247000.0,95563000,333684000
WSM,2018-01-28,5292359000,3360648000,1931711000,4835350000,1474702000.0,457009000,457009000,452439000.0,192894000,259545000
WSM,2017-01-29,5083812000,3200502000,1883310000,4605875000,1405373000.0,477937000,477937000,471911000.0,166524000,305387000
HUM,2019-12-31,64888000000,53857000000,11031000000,61649000000,7334000000.0,3239000000,3239000000,3470000000.0,763000000,2707000000
