stock,endDate,totalRevenue,costOfRevenue,grossProfit,totalOperatingExpenses,sellingGeneralAdministrative,operatingIncome,ebit,incomeBeforeTax,incomeTaxExpense,netIncome
CEIX,2019-12-31,1411864000,963679000,448185000,1233739000,67111000.0,178125000,178125000,98097000.0,4539000,76001000
CEIX,2018-12-31,1519506000,986022000,533484000,1243184000,65346000.0,276322000,276322000,187613000.0,8828000,152976000
CEIX,2017-12-31,1365610000,960401000,405209000,1199458000,83605000.0,166152000,166152000,169797000.0,87228000,67629000
CEIX,2016-12-31,1172110000,923645000,248465000,1105724000,50027000.0,66386000,66386000,65015000.0,14565000,41496000
VIVE,2019-12-31,6567000,5551000,1016000,36504000,22664000.0,-29937000,-29937000,-41899000.0,0,-42526000
VIVE,2018-12-31,18517000,11197000,7320000,63482000,39027000.0,-44965000,-44965000,-49324000.0,0,-49981000
VIVE,2017-12-31,15288000,7844000,7444000,49018000,29273000.0,-33730000,-33730000,-36959000.0,0,-36959000
VIVE,2016-12-31,7141000,4612000,2529000,25845000,13104000.0,-18704000,-18704000,-20111000.0,0,-20111000
GRUB,2019-12-31,1312151000,790768000,521383000,1312729000,406512000.0,-578000,-578000,-26776000.0,-8210000,-18566000
GRUB,2018-12-31,1007257000,536599000,470658000,909916000,287377000.0,97341000,97341000,81433000.0,2952000,78481000
GRUB,2017-12-31,683067000,325716000,357351000,583675000,206111000.0,99392000,99392000,89648000.0,-9335000,98983000
GRUB,2016-12-31,493331000,214210000,279121000,408166000,158763000.0,85165000,85165000,83852000.0,34295000,49557000
LZB,2019-04-27,1745401000,1044131000,701270000,1623303000,572714000.0,122098000,122098000,95327000.0,25186000,68574000
LZB,2018-04-28,1583947000,961200000,622747000,1453367000,487306000.0,130580000,130580000,128890000.0,47295000,80866000
LZB,2017-04-29,1520060000,910757000,609303000,1389479000,474326000.0,130581000,130581000,130740000.0,43756000,85922000
LZB,2016-04-30,1525398000,940420000,584978000,1397509000,450789000.0,127889000,127889000,125043000.0,44080000,79252000
TUP,2019-12-28,1797900000,609900000,1188000000,1610800000,985800000.0,187100000,187100000,103400000.0,91000000,12400000
TUP,2018-12-29,2069700000,691300000,1378400000,1753900000,1047600000.0,315800000,315800000,276200000.0,120300000,155900000
